;NL01487;NL01488;NL01489;NL01491;NL01494;NL01495;NL01496;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938;NL49007;NL49012;NL49014;NL49016;NL49017;NL49551;NL49553;NL49556;NL49561;NL49570;NL49572;NL49573;NL49701;NL49703;NL49704
2019-12-01 00:00;34.3;31.5;34.8;36.1;48.0;30.1;29.9;31.093;17.559;17.363;37.355;25.879;26.752;27.212;26.164;27.398;19.255;27.428;31.897;4.681;42.285;28.81;30.387;28.133;31.946;31.573;25.713;34.601;8.729;8.68;8.916;21.2;26.8;14.6;22.9;22.9;27.7;24.4;24.6;24.7;28.5;29.0;21.7;20.4;13.3;25.5
2019-12-01 01:00;27.5;32.6;27.2;31.2;49.7;26.8;30.3;28.143;20.587;10.954;44.989;28.32;27.81;23.9;23.792;27.614;16.952;26.507;29.26;6.344;36.297;24.439;31.642;25.977;31.514;29.427;27.134;28.761;4.905;10.062;8.424;20.9;21.9;-;23.5;25.6;24.0;20.5;16.3;23.5;28.2;26.3;21.9;27.8;23.2;25.4
2019-12-01 02:00;29.4;31.4;28.1;27.9;30.1;28.4;31.5;27.026;14.825;12.542;37.757;28.339;33.327;25.742;27.075;24.929;19.313;29.27;23.831;6.063;31.779;28.77;34.719;24.909;30.603;26.379;22.988;29.554;5.159;12.159;10.817;22.7;28.4;-;26.6;23.7;33.2;18.3;17.1;23.3;23.6;22.5;28.9;25.8;16.7;17.0
2019-12-01 03:00;27.6;26.7;21.9;31.2;26.3;27.1;28.6;26.252;13.502;14.982;32.524;25.125;26.644;17.971;26.35;24.958;24.968;25.546;29.594;10.15;28.182;26.222;28.026;28.3;24.978;26.781;22.234;27.036;6.21;12.316;11.189;19.4;22.4;23.0;24.5;20.9;20.0;21.6;20.5;25.3;22.5;21.1;26.1;22.8;17.7;25.1
2019-12-01 04:00;29.9;29.7;24.0;28.7;29.3;28.0;18.4;26.467;14.355;15.952;27.526;24.752;25.517;20.999;18.373;25.184;25.242;25.301;28.026;12.218;25.497;24.086;26.781;29.682;26.791;-;19.176;24.694;9.229;13.639;12.522;20.0;22.4;28.1;17.1;24.9;12.6;17.9;22.7;26.3;22.2;18.6;28.6;18.4;15.5;19.5
2019-12-01 05:00;26.4;22.5;26.7;28.8;26.5;24.4;19.3;26.418;19.549;15.276;26.507;19.813;20.597;18.902;17.373;18.412;29.221;24.772;27.516;11.758;29.584;24.537;26.203;18.206;28.77;23.841;22.606;25.154;10.503;15.57;11.454;19.6;17.3;31.6;19.5;24.9;21.7;18.3;19.2;28.7;16.8;20.3;25.1;17.9;22.6;19.6
2019-12-01 06:00;18.4;15.5;21.1;21.5;23.8;13.1;17.4;24.38;10.758;11.758;18.725;21.264;18.784;13.188;23.135;13.884;32.063;19.166;20.382;9.366;20.93;27.673;20.842;15.06;27.065;23.978;21.861;26.477;7.715;10.631;10.778;21.2;22.9;30.3;17.3;23.2;13.9;14.7;21.0;29.5;19.3;13.7;26.7;16.1;21.3;16.3
2019-12-01 07:00;15.4;-;17.0;20.0;18.1;23.8;11.3;25.272;10.513;10.513;21.734;20.764;14.707;17.961;21.391;12.228;23.224;14.364;17.481;8.532;24.507;28.633;25.076;15.54;26.036;23.018;20.166;22.979;13.443;11.689;12.326;19.8;19.5;22.2;12.9;18.0;13.0;14.8;19.1;-;19.7;12.2;30.0;14.9;17.2;18.0
2019-12-01 08:00;21.0;-;21.9;14.0;19.3;18.2;18.5;19.578;8.788;11.895;31.318;19.568;17.716;14.698;24.87;10.778;21.224;19.019;20.999;9.886;23.077;22.528;23.469;15.903;27.516;22.018;22.783;23.498;12.091;9.053;15.188;20.9;20.8;18.0;13.5;15.8;17.5;12.6;13.0;-;11.7;13.2;31.4;14.4;16.7;16.1
2019-12-01 09:00;17.7;21.5;18.4;20.4;23.0;18.0;15.9;20.186;11.738;7.498;25.438;17.01;17.579;19.47;25.301;16.079;19.441;22.204;21.94;16.599;25.634;24.988;27.251;16.295;30.025;24.204;24.017;23.547;12.885;14.257;14.394;18.7;15.3;16.9;15.8;14.0;12.8;11.9;14.3;16.1;13.0;14.4;23.4;13.0;13.5;14.7
