,0
0,1319.0
1,1182.0
2,1144.0
3,1067.0
4,867.0
5,867.0
6,774.0
7,618.0
8,493.0
9,436.0
10,401.0
11,373.0
12,365.0
13,359.0
14,443.0
15,675.0
16,756.0
17,788.0
18,845.0
19,842.0
20,782.0
21,827.0
22,833.0
23,1042.0
24,1324.0
25,1347.0
26,1378.0
27,1291.0
28,1508.0
29,2238.0
30,2355.0
31,2154.0
32,1895.0
33,1727.0
34,1640.0
35,1593.0
36,1518.0
37,1472.0
38,1534.0
39,1576.0
40,1516.0
41,1453.0
42,1508.0
43,1593.0
44,1660.0
45,1679.0
46,1551.0
47,1426.0
48,1348.0
49,1348.0
50,1395.0
51,1507.0
52,1622.0
53,1593.0
54,1660.0
55,1634.0
56,1631.0
57,1519.0
58,1211.0
59,1223.0
60,1222.0
61,1186.0
62,1147.0
63,1067.0
64,1069.0
65,1185.0
66,1283.0
67,1395.0
68,1383.0
69,1444.0
70,1511.0
71,1461.0
72,1422.0
73,1365.0
74,1329.0
75,1296.0
76,1235.0
77,1198.0
78,1066.0
79,995.0
80,930.0
81,872.0
82,805.0
83,726.0
84,683.0
85,640.0
86,603.0
87,547.0
88,563.0
89,554.0
90,526.0
91,502.0
92,480.0
93,461.0
94,489.0
95,576.0
96,615.0
97,727.0
98,842.0
99,855.0
100,856.0
101,892.0
102,865.0
103,847.0
104,930.0
105,930.0
106,982.0
107,1123.0
108,1162.0
109,1099.0
110,1104.0
111,1078.0
112,1059.0
113,1234.0
114,1467.0
115,1660.0
116,1757.0
117,1872.0
118,1618.0
119,1654.0
120,1641.0
121,1497.0
122,1463.0
123,1421.0
124,1366.0
125,1202.0
126,1173.0
127,1204.0
128,1229.0
129,1135.0
130,1018.0
131,1036.0
132,1157.0
133,1245.0
134,1263.0
135,1270.0
136,1282.0
137,1378.0
138,1373.0
139,1446.0
140,1462.0
141,1537.0
142,1676.0
143,1905.0
144,2468.0
145,2215.0
146,1900.0
147,1792.0
148,1665.0
149,1598.0
150,1551.0
151,1447.0
152,1517.0
153,1501.0
154,1475.0
155,1488.0
156,1515.0
157,1528.0
158,1488.0
159,1431.0
160,1513.0
161,1507.0
162,1497.0
163,1489.0
164,1383.0
165,1177.0
166,1078.0
167,1044.0
168,1002.0
169,1013.0
170,994.0
171,962.0
172,936.0
173,1012.0
174,1023.0
175,961.0
176,965.0
177,879.0
178,832.0
179,747.9999999999999
180,716.0
181,696.0
182,684.0
183,714.0
184,752.0
185,666.0
186,829.0
187,869.0
188,1016.0
189,995.0
190,1169.0
191,1215.0
192,1158.0
193,1201.0
194,1140.0
195,1172.0
196,1149.0
197,1194.0
198,1116.0
199,1306.0
200,1302.0
201,1369.0
202,1324.0
203,1346.0
204,1275.0
205,1290.0
206,1263.0
207,1325.0
208,1178.0
209,1348.0
210,1171.0
211,1313.0
212,1120.0
213,1279.0
214,1237.0
215,1207.0
216,1163.0
217,1130.0
218,1024.0
219,1174.0
220,1493.0
221,1834.0
222,1844.0
223,1674.0
224,1561.0
225,1381.0
226,1217.0
227,1165.0
228,1136.0
229,1144.0
230,1214.0
231,1198.0
232,1403.0
233,1440.0
234,1455.0
235,1465.0
236,1498.0
237,1475.0
238,1474.0
239,1559.0
240,1552.0
241,1557.0
242,1386.0
243,1225.0
244,962.0
245,847.0
246,768.0
247,679.0
248,610.0
249,612.0
250,653.0
251,673.0
252,666.0
253,694.0
254,629.0
255,651.0
256,710.0
257,792.9999999999999
258,856.0
259,1007.0
260,1058.0
261,1157.0
262,1283.0
263,1281.0
264,1359.0
265,1327.0
266,1398.0
267,1355.0
268,1356.0
269,1404.0
270,1415.0
271,1458.0
272,1388.0
273,1401.0
274,1331.0
275,1288.0
276,1318.0
277,1264.0
278,1304.0
279,1276.0
280,1355.0
281,1328.0
282,1367.0
283,1294.0
284,1314.0
285,1244.0
286,1275.0
287,1211.0
288,1263.0
289,1291.0
290,1264.0
291,1323.0
292,1261.0
293,1292.0
294,1224.0
295,1249.0
296,1198.0
297,1226.0
298,1170.0
299,1233.0
300,1197.0
301,1201.0
302,1133.0
303,1156.0
304,1077.0
305,1102.0
306,1031.0
307,976.0
308,930.0
309,830.0
310,745.0
311,672.0
312,628.0
313,596.0
314,559.0
315,542.0
316,590.0
317,630.0
318,665.0
319,696.0
320,727.0
321,787.0
322,860.9999999999999
323,899.0
324,932.0
325,1098.0
326,1034.0
327,1015.0
328,944.0
329,908.0
330,939.0
331,987.0
332,1053.0
333,1075.0
334,1069.0
335,1143.0
336,1233.0
337,1372.0
338,1507.0
339,1570.0
340,1632.0
341,1677.0
342,1535.0
343,1566.0
344,1565.0
345,1622.0
346,1784.0
347,1858.0
348,1845.0
349,1688.0
350,1434.0
351,1340.0
352,1241.0
353,1167.0
354,1166.0
355,1202.0
356,1198.0
357,1214.0
358,1298.0
359,1311.0
360,1327.0
361,1350.0
362,1398.0
363,1495.0
364,1581.0
365,1605.0
366,1626.0
367,1729.0
368,1729.0
369,1725.0
370,1727.0
371,1827.0
372,1817.0
373,1849.0
374,1906.0
375,1887.0
376,1888.0
377,1828.0
378,1839.0
379,1802.0
380,1785.0
381,1784.0
382,1723.0
383,1689.0
384,1685.0
385,1633.0
386,1664.0
387,1609.0
388,1631.0
389,1653.0
390,1634.0
391,1708.0
392,1666.0
393,1657.0
394,1668.0
395,1568.0
396,1602.0
397,1533.0
398,1496.0
399,1558.0
400,1519.0
401,1562.0
402,1506.0
403,1578.0
404,1633.0
405,1871.0
406,2210.0
407,2518.0
408,2634.0
409,2734.0
410,2836.0
411,2974.0
412,3063.0
413,3062.0
